"18179,""Can't select in virgin text field"",""major""";;
"19939,""Twisty behaves differently for Symlinks on FTP sites"",""major""";;
"14074,""crash while viewing animated gifs with decoding problems."",""major""";;
"14133,""MLK: leak of 40 bytes- nsHTTPHeaderArray::SetHeader"",""major""";;
"21083,""[dogfood]Setting multiple cookies at a time failing on M11"",""major""";;
"6544,""Cannot search on XML page"",""major""";;
"13941,""Form doesn't look like it should.."",""major""";;
"13962,""[beta][PP]gfx text input fields do not handle forward delete"",""major""";;
"14836,""[BETA] Disabled controls should not respond to mouse clicks"",""major""";;
"18826,""Recent checkin of nsprpub/pr/src/linking/prlink.c broke my Linux glibc 2.0 build."",""major""";;
"17792,""text set via DOM displays in HTL password control"",""major""";;
"18602,""Nested in a Label element, select menu item names are cropped"",""major""";;
"14552,""MLK: GtkLayout structs get leaked."",""major""";;
"3682,""Image Maps"",""major""";;
"25059,""Calling nsComboboxControlFrame::GetAbsoluteFramePosition too frequently"",""major""";;
"6451,""Should change Japanese fonts to display Japanese characters"",""major""";;
"18877,""Flickering of text control while laying out travelocity login"",""major""";;
"21540,""Invalid Page fault in XPCOM.DLL when file://C:\"",""major""";;
"10041,""[PP]enumerating a folder's contents shouldn't resolve aliases"",""major""";;
"6891,""The %X argument to scanf is not valid and should be %x"",""major""";;
"4182,""nsFileSpec problems on Windows"",""major""";;
"8427,""[dogfood] sched: [Beta] make inter-application copy/paste work with Japanese characters"",""major""";;
"21940,""content of input field doesn't show up after expanding a toolbar"",""major""";;
"24354,""[regression] copy failed in URL bar, assertion copying from URL bar in mozilla"",""major""";;
"15726,""nsComponentManagerImpl::RegistryLocationForSpec needs to be faster"",""major""";;
"27252,""JavaScript error-Try to open the blank windows infinitely"",""major""";;
"18259,""pref back-end should use JSRuntimeService, not its own runtime"",""major""";;
"3264,""Tables ignore font-size property"",""major""";;
"10828,""MLK:28 bytes leaked nsFileSpecImpl from sPref::useDefaultPrefFile()"",""major""";;
"17275,""[DOGFOOD] Entity conversion done wrong"",""major""";;
"5247,""mailto:-targets in xml:link XML links does not open a messenger window"",""major""";;
"18518,""[FEATURE] nsWindow user notification"",""major""";;
"17081,""[PRINT FAIL] page fails to print in M9,M10"",""major""";;
"26579,""purify reports UMR in nsString::DetermineRadix()"",""major""";;
"20521,""Scrolling before a page finishes loading wrecks havoc"",""major""";;
"24332,""MLK: selection leaks! (easy to fix!!)"",""major""";;
"25522,""DOCTYPE 4.01 causes a problem with the parser"",""major""";;
"7898,""[PP] Combo boxes on linux don't grab the mouse"",""major""";;
"27022,""Files read through nsBufferedInputStream are truncated"",""major""";;
"24933,""[BETA1] Non-ASCII Rel Links show up in garbage on cached page"",""major""";;
"25730,""shift-arrowkey selection extension not working in edit fields"",""major""";;
"8092,""mozilla/caps/public/nsI* missing |GetIID()| methods."",""major""";;
"9343,""Build fails when using objdir"",""major""";;
"24936,""bogus reflows generated by block code"",""major""";;
"7714,""Table cells do not display at all (overlapped rowspans)"",""major""";;
"23966,""[ssl]Cannot visit new secure web sites."",""major""";;
"13290,""MLK: nsScriptSecurityManager?"",""major""";;
"20280,""Crash when going to https://junruh/snack.html"",""major""";;
"24565,""nsScriptSecurityManager::GetSecurityLevel() is a performance hotspot"",""major""";;
"24567,""re-write DOM glue security checks to avoid NS_WITH_SERVICE()"",""major""";;
"16536,""Security disallows opening resource URL"",""major""";;
"25617,""Table layout isn't correct"",""major""";;
"25223,""Images rendered in the wrong location"",""major""";;
"24057,""Cell (row?) index not accurate after inserting new row in table"",""major""";;
"23156,""Reflow targeting wrong - Fieldset should create child frames in nsCSSFrameConstructor"",""major""";;
